Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Shiro,,235,0.77,165.1,0.67,61%,114.4,0.54,0.31,0.05,0.1,26%,18%,6/34,18,128,192,74,11,23
Sanity,(+2),215,0.77,175.6,0.76,65%,115.2,0.61,0.24,0.12,0.17,24%,11%,2/18,22,131,173,51,25,36
PapaCole  TeVo,,500,0.77,165.7,0.66,61%,114.4,0.51,0.29,0.07,0.09,20%,12%,11/90,21,256,387,144,33,46
Badger  OTF,(+5),368,0.77,170.5,0.72,65%,110.2,0.58,0.27,0.07,0.08,24%,6%,3/52,20,213,294,100,26,30
Apqa,(+5),382,0.77,157.3,0.68,60%,105.4,0.53,0.24,0.04,0.08,23%,8%,5/66,18,202,295,90,17,32
denni  Wann,(+3),237,0.77,184.5,0.7,57%,124.4,0.6,0.21,0.09,0.08,26%,9%,3/33,21,142,203,50,22,20
stig  NBG,(+2),520,0.77,174.7,0.74,60%,114.6,0.61,0.15,0.13,0.17,22%,8%,5/59,23,318,428,76,68,86
Aroma,(+4),318,0.77,162.6,0.77,59%,108.4,0.58,0.2,0.04,0.1,31%,12%,6/50,22,183,239,64,14,33
justinovah  LMND,(+3),858,0.77,171.7,0.75,62%,111.9,0.59,0.23,0.1,0.12,21%,13%,13/98,26,505,669,199,82,102
Interlaced,(+4),425,0.77,163.6,0.71,65%,104.7,0.56,0.28,0.06,0.09,27%,6%,4/64,21,240,338,118,27,40
HILTON  T1A,(+4),482,0.76,172.3,0.68,58%,116.4,0.55,0.32,0.07,0.1,25%,10%,7/69,20,264,389,154,36,47
Sharked  DK,(+3),409,0.76,163.4,0.71,67%,111.2,0.56,0.25,0.05,0.05,29%,8%,6/80,22,227,321,103,20,21
pretty  RE,(+5),417,0.76,183.1,0.75,65%,123.9,0.62,0.28,0.09,0.13,24%,4%,2/47,25,258,343,116,37,53
Isaac  RF,(+4),298,0.76,176.1,0.72,61%,116.3,0.6,0.24,0.12,0.17,23%,7%,2/29,22,179,250,72,35,52
toxik  RE,(+3),260,0.76,174.5,0.69,66%,111.4,0.57,0.35,0.05,0.07,21%,6%,3/48,20,148,214,91,12,19
Nara  Team,(+4),489,0.76,175.6,0.77,62%,114.6,0.59,0.18,0.1,0.16,18%,17%,9/52,23,290,379,90,51,78
drenzn,(+3),249,0.76,150.5,0.67,59%,107.7,0.52,0.28,0.04,0.08,22%,13%,5/38,19,130,194,70,11,21
Unholykid  Gift,(+10),1036,0.76,178.1,0.72,61%,119.4,0.6,0.23,0.1,0.18,24%,6%,5/88,25,624,862,243,104,186
Matt  VALK,(+5),827,0.76,161.2,0.69,62%,106.4,0.54,0.22,0.06,0.1,17%,12%,14/113,20,445,648,185,47,80
eoz,(+2),389,0.76,153.5,0.72,65%,102.2,0.56,0.24,0.04,0.06,37%,5%,3/62,22,216,302,95,14,25
Jben  ex-R5,(+3),500,0.76,160.2,0.7,68%,103.8,0.53,0.2,0.06,0.1,21%,14%,9/63,23,267,384,100,28,52
vasperal  VALK,(+3),395,0.76,166.7,0.75,61%,113.4,0.61,0.17,0.1,0.11,21%,7%,4/61,25,242,323,67,40,42
TESTINGSERVICE69,(+1),216,0.76,175.2,0.72,61%,110.6,0.58,0.27,0.07,0.09,22%,5%,2/38,17,126,175,58,15,19
Donkey  VALK,(+2),354,0.76,194.8,0.8,57%,125.4,0.67,0.13,0.14,0.16,27%,15%,5/33,25,237,296,46,48,56
BLuezZ  DK,(+3),284,0.76,163.3,0.74,62%,106.4,0.57,0.21,0.09,0.11,25%,15%,6/41,22,162,219,61,26,32
Mady  MSF,(+5),1100,0.76,160.9,0.71,62%,108.4,0.56,0.28,0.08,0.12,23%,10%,12/123,22,616,869,303,85,131
Yolo  RA,(+5),1209,0.76,163.1,0.69,65%,109.3,0.56,0.32,0.07,0.12,25%,11%,11/102,24,673,975,392,79,148
Starlight,(+7),2258,0.76,154.2,0.73,65%,101.4,0.55,0.25,0.05,0.1,22%,16%,43/273,28,1244,1693,562,119,220
Trippy  TM,(+2),422,0.76,154.6,0.67,67%,101.7,0.51,0.32,0.03,0.06,20%,13%,8/64,24,216,323,135,14,24
DGL  Moon,(+5),282,0.76,171.3,0.69,65%,112.6,0.57,0.3,0.05,0.07,19%,10%,4/41,23,160,231,86,15,21
Zento,(+2),411,0.76,151.6,0.67,63%,100.9,0.51,0.26,0.04,0.06,23%,17%,11/63,24,211,313,108,16,26
Rest  Roch,(+5),1728,0.76,172.4,0.72,63%,115.1,0.59,0.3,0.08,0.12,20%,8%,17/221,27,1025,1414,516,130,213
